name,lat,lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,email,indoor_seating,name,opening_hours,operator,outdoor_seating,phone,website,wheelchair,check_date:opening_hours,smoking,toilets:wheelchair,check_date,cuisine,contact:facebook,level,opening_hours:signed,toilets,description,note,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,theme,wheelchair:description,contact:phone,brewery,contact:email,contact:website,old_name,contact:instagram,contact:mobile,min_age,building,wikidata,building:levels,contact:twitter,roof:levels,roof:shape
Heimat,49.0199887,12.0919512,Regensburg,DE,9,93047,Am Römling,pub,info@heimat-rgb.de,yes,Heimat,Mo-Sa 20:00-02:00,AndyZorn/Matthäus Sledziecki,yes,+49 941 29063881,https://www.heimat-regensburg.de/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Harp,49.0208415,12.0969389,,,,,,pub,,yes,Irish Harp,"Su-Th 18:00-01:00, Fr,Sa 16:00-02:00",,yes,,,no,2025-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apotheke GbR,49.018994,12.0933471,Regensburg,DE,8,93047,Rote-Hahnen-Gasse,pub,,yes,Apotheke GbR,Mo-Th 10:00-01:00; Fr-Sa 10:00-02:00; Su 18:00-24:00,,yes,+49 941 5843999,,yes,,outside,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinterhaus,49.0192694,12.0924936,,,,,,pub,,yes,Hinterhaus,18:00-02:00,,yes,+49 941 60715950,https://www.hinterhaus-regensburg.de/,limited,2025-10-18,,,2025-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freunde der italienischen Oper,49.019063,12.0928089,,,,,,pub,info@carlitos-regensburg.com,yes,Freunde der italienischen Oper,Tu-Sa 19:00-02:00,,no,,,,,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,
Olle Gaffel,49.0188123,12.092429,,,,,,pub,,yes,Olle Gaffel,"Tu-Th 17:00-01:00, Fr 17:00-02:00, Sa,Su 13:00-02:00",,yes,,,limited,,,,,,OlleGaffelRegensburg,,,,,,,,,,,,,,,,,,,,,,,,,
Zweigstelle,49.019062,12.093236,,,,,,pub,,yes,Zweigstelle,"Th,Fr,Sa 20:00-02:00",,no,,,no,,,,2025-05-26,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Central Billard,49.0190793,12.0931316,,,,,,pub,,yes,Central Billard,Mo-Su 19:00-02:00,,no,,,no,,,,2025-05-26,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Wuid & Schee,49.0203765,12.0976892,Regensburg,DE,1,93047,Unter den Schwibbögen,bar,,,Wuid & Schee,,,,+49 171 3637996,,no,,no,,2024-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Bar,49.0211379,12.0936159,,,,,,bar,,,Orange Bar,"Tu-Th 20:00-01:00, Fr,Sa 20:00-02:00",,,,http://www.orange-bar-regensburg.de/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murphy's Law,49.0177702,12.0939292,Regensburg,DE,6,93047,Spiegelgasse,pub,,yes,Murphy's Law,"Su-We 18:00-01:00, Th-Sa 18:00-02:00",,no,+49 941 53295,https://www.murphyslaw-regensburg.de/,no,,no,,,irish;pizza;salad,,-1,,,,,,,,,,,,,,,,,,,,,,,,
da Silva,49.0166878,12.0959919,Regensburg,DE,9,93047,Obermünsterstraße,bar,,yes,da Silva,"Tu, Th-Sa 21:00-02:00",,no,,,limited,,,no,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banane,49.0205828,12.09194,,,,,,pub,,yes,Banane,Tu-Sa 18:00-02:00,,no,,,,,,,2025-10-28,,https://www.facebook.com/Banane-Regensburg-Official-1510087995932022/,,,,,,,,,,,,,,,,,,,,,,,,,
Piratenhöhle,49.0208069,12.0952906,,,,,,pub,info@piratenhoehle.de,,Piratenhöhle,Th-Sa 20:00-02:00,,,+49 941 5676655,http://www.piratenhoehle.de/,no,2025-08-25,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
Flannigan's,49.0210155,12.0940149,Regensburg,DE,2,93047,Baumhackergasse,bar,,,Flannigan's,"Mo-Th 20:00-02:00, Fr,Sa 19:30-02:00",,,+49 941 53481,,no,2025-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Byrdcave,49.021261,12.0927913,,,,,,bar,,yes,The Byrdcave,,,yes,,,no,2025-09-06,,,,,,-1,no,yes,,,,,,,,,,,,,,,,,,,,,,
Ka5par,49.0190066,12.0942751,Regensburg,DE,5,93047,Hinter der Grieb,bar,kontakt@ka5per.de,,Ka5par,,,,+49 941 59579099,https://ka5per.de/,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escobar,49.0173804,12.0937402,,,,,,pub,,yes,Escobar,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blomberg,49.0189563,12.0890521,Regensburg,DE,1,93047,Jakobstraße,bar,cafeblomberg@gmail.com,yes,Blomberg,Mo-Su 10:00-24:00,,yes,+49 941 465 235 82,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Artemis Heaven Bar,49.0204928,12.0892111,Regensburg,DE,7,93047,Rote-Löwen-Straße,bar,,,The Artemis Heaven Bar,"Mo,We,Th 14:00-24:00, Fr,Sa 10:00-02:00",,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zum Sauseneck,49.0212139,12.0939322,,,,,,pub,,,Zum Sauseneck,,,,+49 941 53706,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musikbar Sax,49.0178439,12.0931478,Regensburg,DE,1,93047,Hinter der Pfannenschmiede,pub,,,Musikbar Sax,"Su-We 20:00-02:00, Th-Sa 20:00-03:00",Edgar Bilz,,+49 941 561750,,limited,,,,,,,,,,Eintritt ab 18 Jahren,Alternative Musikkneipe und Studentencafé,,,,,,,,,,,,,,,,,,,,
Rotkäppchen,49.0153208,12.0978363,Regensburg,DE,14,93047,Fröhliche-Türken-Straße,pub,,yes,Rotkäppchen,Mo-Su 20:00-02:00,,no,,,no,,,,2025-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zur geflickten Trommel,49.018696,12.0942728,Regensburg,DE,2,93047,Gesandtenstraße,pub,mail@zur-geflickten-trommel.de,yes,Zur geflickten Trommel,"Su-Th 17:00-01:00, Fr-Sa 17:00-02:00",,yes,+49 941 56996489,http://www.geflickte-trommel.de/,no,,,,,medieval,,0,,yes,,,yes,no,no,no,medieval,,,,,,,,,,,,,,,
mono,49.0193966,12.0926684,Regensburg,DE,2,93047,Rote-Hahnen-Gasse,pub,,yes,mono,"Mo-Su,PH 18:00-02:00",,yes,,https://www.monoregensburg.de/,no,2025-10-18,,,2025-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar 13,49.0212927,12.0926547,,,,,,pub,,yes,Bar 13,"Mo 20:00-03:00, Tu-Th 20:00-02:00, Fr,Sa,PH -1 day 20:00-04:00, Su 20:00-01:00",,no,,https://www.bar-13.de/,no,,,,2025-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
U-Bar,49.0178327,12.094138,Regensburg,DE,3,93047,Spiegelgasse,bar,christianschoenek@web.de,,U-Bar,"Tu,Fr,Sa 22:00-02:00, We 22:00-01:00, Th 21:30-02:00",,,,http://www.u-bar-regensburg.net,no,,,,2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,
